07ÔÂ24_22:06:33	
x,y,
1637,1549,
1753,1596,
1772,1581,
1774,1550,
1752,1529,
1719,1501,
1689,1479,
1664,1468,
1642,1445,
1609,1435,
1579,1450,
1581,1482,
1603,1517,
1644,1552,
1683,1576,
1720,1593,
1747,1597,
1767,1586,
1776,1553,
1755,1528,
1718,1511,
1689,1483,
1662,1463,
1637,1443,
1613,1438,
1584,1444,
1573,1472,
1600,1511,
1628,1549,
1675,1575,
1716,1591,
1748,1598,
1772,1593,
1781,1574,
1763,1530,
1729,1514,
1698,1490,
1667,1468,
1655,1447,
1620,1441,
1583,1446,
1580,1476,
1596,1502,
1629,1548,
1673,1567,
1705,1589,
1748,1592,
1757,1592,
1774,1569,
1762,1540,
1731,1503,
1695,1497,
1669,1467,
1642,1452,
1628,1428,
1580,1436,
1574,1460,
1582,1498,
1622,1533,
1664,1572,
1703,1584,
1734,1600,
1767,1595,
1777,1576,
1771,1545,
1744,1518,
1714,1494,
1677,1483,
1653,1454,
1638,1437,
1598,1437,
1574,1464,
1586,1490,
1620,1526,
1657,1556,
1690,1588,
1724,1594,
1759,1595,
1775,1572,
1766,1550,
1737,1519,
1710,1495,
1680,1477,
1651,1462,
1631,1439,
1600,1428,
1571,1448,
1579,1483,
1606,1520,
1644,1554,
1682,1584,
1724,1602,
1751,1597,
1780,1585,
1779,1551,
1751,1526,
1719,1504,
1686,1478,
1662,1469,
1639,1450,
1606,1437,
1583,1446,
1582,1481,
1605,1520,
1640,1552,
1680,1573,
1719,1588,
1747,1602,
1769,1583,
1781,1554,
1752,1525,
1715,1503,
1682,1480,
1659,1460,
1639,1442,
1607,1433,
1572,1442,
1577,1470,
1599,1506,
1635,1546,
1671,1578,
1714,1591,
1748,1592,
1774,1590,
1781,1562,
1759,1531,
1729,1508,
1690,1490,
1668,1463,
1653,1448,
1620,1435,
1587,1444,
1578,1465,
1594,1506,
1631,1539,
1666,1567,
1705,1590,
1741,1593,
1759,1592,
1777,1570,
1759,1540,
1733,1507,
1694,1490,
1663,1469,
1644,1445,
1623,1426,
1582,1436,
1580,1461,
1587,1503,
1624,1533,
1662,1571,
1700,1584,
1736,1601,
1767,1590,
1779,1578,
1767,1546,
1734,1516,
1709,1492,
1682,1482,
1659,1456,
1632,1436,
1597,1430,
1572,1458,
1587,1494,
1622,1536,
1662,1561,
1689,1587,
1724,1591,
1754,1587,
1772,1570,
1766,1546,
1740,1522,
1703,1494,
1675,1477,
1658,1461,
1627,1434,
1600,1428,
1574,1450,
1579,1488,
1605,1526,
1651,1553,
1686,1583,
1723,1593,
1755,1594,
1773,1573,
1772,1555,
1745,1529,
1711,1503,
1691,1481,
1667,1473,
1640,1447,
1607,1435,
1583,1445,
1582,1486,
1605,1523,
1642,1549,
1684,1571,
1718,1598,
1749,1599,
1769,1588,
1781,1555,
1749,1540,
1715,1507,
1685,1485,
1664,1454,
1636,1446,
1603,1434,
1575,1451,
1582,1472,
1597,1517,
1639,1546,
1674,1572,
1718,1587,
1747,1598,
1765,1587,
1776,1566,
1762,1533,
1729,1518,
1698,1491,
1678,1468,
1654,1445,
1616,1438,
1581,1448,
1580,1469,
1595,1507,
1630,1548,
1672,1569,
1708,1587,
1742,1594,
1761,1591,
1777,1565,
1757,1535,
1734,1510,
1691,1490,
1661,1471,
1646,1446,
1620,1429,
1581,1444,
1577,1464,
1594,1507,
1627,1533,
1669,1566,
1701,1582,
1735,1595,
1762,1590,
1774,1577,
1769,1546,
1734,1520,
1710,1499,
1678,1482,
1656,1458,
1631,1436,
1597,1431,
1568,1466,
1589,1498,
1621,1532,
1664,1562,
1695,1584,
1733,1587,
1758,1592,
1774,1569,
1768,1554,
1739,1520,
1708,1505,
1683,1474,
1655,1458,
1633,1428,
1590,1435,
1573,1448,
1578,1489,
1612,1522,
1652,1553,
1693,1580,
1724,1598,
1754,1591,
1772,1580,
1779,1553,
1748,1531,
1719,1506,
1687,1478,
1661,1463,
1641,1441,
1608,1434,
1579,1446,
1588,1480,
1610,1524,
1654,1556,
1688,1575,
1721,1593,
1745,1592,
1767,1579,
1776,1548,
1745,1532,
1716,1506,
1690,1486,
1658,1461,
1636,1447,
1606,1428,
1577,1446,
1578,1474,
1596,1520,
1641,1554,
1683,1580,
1716,1591,
1742,1601,
1769,1587,
1779,1565,
1764,1533,
1727,1514,
1694,1492,
1668,1469,
1650,1440,
1620,1437,
1581,1444,
1580,1470,
1598,1513,
1635,1546,
1672,1575,
1706,1591,
1748,1594,
1762,1592,
1783,1557,
1765,1535,
1733,1506,
1695,1493,
1667,1470,
1645,1441,
1620,1424,
1581,1441,
1570,1458,
1592,1500,
1631,1539,
1662,1568,
1706,1590,
1737,1591,
1759,1590,
1775,1577,
1771,1540,
1740,1517,
1705,1496,
1677,1483,
1650,1453,
1633,1431,
1590,1437,
1575,1464,
1588,1500,
1625,1525,
1662,1565,
1697,1588,
1735,1594,
1751,1585,
1766,1576,
1763,1553,
1740,1520,
1709,1493,
1678,1473,
1653,1453,
1623,1434,
1589,1422,
1571,1459,
1578,1494,
1616,1528,
1654,1554,
1694,1584,
1729,1598,
1749,1591,
1770,1575,
1778,1549,
1744,1527,
1717,1505,
1683,1478,
